time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
9300  0.000724  0.995399   0.000727  0.999448   0.000727  0.999903   
9400  0.000724  0.995371   0.000727  0.999459   0.000727  0.999911   
9500  0.000724  0.995342   0.000727  0.999468   0.000727  0.999920   
9600  0.000724  0.995315   0.000727  0.999476   0.000727  0.999930   
9700  0.000724  0.995288   0.000727  0.999482   0.000727  0.999940   
9800  0.000724  0.995261   0.000727  0.999487   0.000727  0.999952   
9900  0.000724  0.995235   0.000727  0.999491   0.000727  0.999964   
10000  0.000724  0.995210   0.000727  0.999493   0.000727  0.999976   
10100  0.000724  0.995184   0.000727  0.999495   0.000727  0.999990   
10200  0.000724  0.995158   0.000727  0.999496   0.000727  1.000003   
10300  0.000724  0.995130   0.000727  0.999497   0.000727  1.000016   
10400  0.000724  0.995101   0.000727  0.999499   0.000727  1.000030   
10500  0.000724  0.995070   0.000727  0.999500   0.000727  1.000043   
10600  0.000724  0.995039   0.000727  0.999501   0.000727  1.000057   
10700  0.000724  0.995006   0.000727  0.999503   0.000727  1.000071   
10800  0.000724  0.994972   0.000727  0.999504   0.000727  1.000085   
10900  0.000724  0.994937   0.000727  0.999505   0.000727  1.000099   
11000  0.000724  0.994900   0.000727  0.999507   0.000727  1.000114   
11100  0.000724  0.994863   0.000727  0.999508   0.000727  1.000128   
11200  0.000724  0.994824   0.000727  0.999509   0.000727  1.000143   
11300  0.000724  0.994783   0.000727  0.999510   0.000727  1.000157   
11400  0.000724  0.994742   0.000727  0.999512   0.000727  1.000172   
11500  0.000724  0.994699   0.000727  0.999513   0.000728  1.000187   
11600  0.000723  0.994655   0.000727  0.999514   0.000728  1.000202   
11700  0.000723  0.994609   0.000727  0.999515   0.000728  1.000217   
11800  0.000723  0.994562   0.000727  0.999516   0.000728  1.000232   
11900  0.000723  0.994514   0.000727  0.999518   0.000728  1.000247   
12000  0.000723  0.994465   0.000727  0.999519   0.000728  1.000262   
12100  0.000723  0.994414   0.000727  0.999520   0.000728  1.000278   
12200  0.000723  0.994362   0.000727  0.999521   0.000728  1.000293   
12300  0.000723  0.994309   0.000727  0.999522   0.000728  1.000309   
12400  0.000723  0.994254   0.000727  0.999523   0.000728  1.000324   
12500  0.000723  0.994199   0.000727  0.999523   0.000728  1.000340   
12600  0.000723  0.994141   0.000727  0.999524   0.000728  1.000356   
12700  0.000723  0.994083   0.000727  0.999525   0.000728  1.000372   
12800  0.000723  0.994023   0.000727  0.999526   0.000728  1.000388   
12900  0.000723  0.993962   0.000727  0.999526   0.000728  1.000404   
13000  0.000723  0.993899   0.000727  0.999527   0.000728  1.000420   
13100  0.000723  0.993836   0.000727  0.999528   0.000728  1.000436   
13200  0.000723  0.993771   0.000727  0.999528   0.000728  1.000452   
13300  0.000723  0.993705   0.000727  0.999529   0.000728  1.000469   
13400  0.000723  0.993637   0.000727  0.999529   0.000728  1.000485   
13500  0.000723  0.993568   0.000727  0.999529   0.000728  1.000502   
13600  0.000723  0.993498   0.000727  0.999529   0.000728  1.000518   
13700  0.000723  0.993427   0.000727  0.999530   0.000728  1.000535   
13800  0.000723  0.993354   0.000727  0.999530   0.000728  1.000551   
13900  0.000722  0.993281   0.000727  0.999530   0.000728  1.000568   
14000  0.000722  0.993206   0.000727  0.999530   0.000728  1.000585   
14100  0.000722  0.993130   0.000727  0.999529   0.000728  1.000602   
14200  0.000722  0.993052   0.000727  0.999529   0.000728  1.000618   
14300  0.000722  0.992974   0.000727  0.999529   0.000728  1.000635   
14400  0.000722  0.992894   0.000727  0.999528   0.000728  1.000652   
14500  0.000722  0.992813   0.000727  0.999528   0.000728  1.000669   
14600  0.000722  0.992731   0.000727  0.999527   0.000728  1.000686   
14700  0.000722  0.992648   0.000727  0.999526   0.000728  1.000703   
14800  0.000722  0.992564   0.000727  0.999525   0.000728  1.000721   
14900  0.000722  0.992479   0.000727  0.999524   0.000728  1.000738   
15000  0.000722  0.992392   0.000727  0.999523   0.000728  1.000755   
15100  0.000722  0.992305   0.000727  0.999522   0.000728  1.000772   
15200  0.000722  0.992216   0.000727  0.999520   0.000728  1.000789   
15300  0.000722  0.992127   0.000727  0.999519   0.000728  1.000807   
15400  0.000722  0.992036   0.000727  0.999517   0.000728  1.000824   
15500  0.000722  0.991945   0.000727  0.999515   0.000728  1.000841   
15600  0.000721  0.991852   0.000727  0.999513   0.000728  1.000858   
15700  0.000721  0.991759   0.000727  0.999511   0.000728  1.000876   
15800  0.000721  0.991665   0.000727  0.999509   0.000728  1.000893   
15900  0.000721  0.991570   0.000727  0.999506   0.000728  1.000911   
16000  0.000721  0.991473   0.000727  0.999504   0.000728  1.000928   
16100  0.000721  0.991376   0.000727  0.999501   0.000728  1.000945   
16200  0.000721  0.991279   0.000727  0.999498   0.000728  1.000963   
16300  0.000721  0.991180   0.000727  0.999495   0.000728  1.000980   
16400  0.000721  0.991081   0.000727  0.999491   0.000728  1.000998   
16500  0.000721  0.990980   0.000727  0.999488   0.000728  1.001015   
16600  0.000721  0.990880   0.000727  0.999484   0.000728  1.001032   
16700  0.000721  0.990778   0.000727  0.999480   0.000728  1.001050   
16800  0.000721  0.990676   0.000727  0.999476   0.000728  1.001067   
16900  0.000721  0.990573   0.000727  0.999472   0.000728  1.001085   
17000  0.000720  0.990469   0.000727  0.999467   0.000728  1.001102   
17100  0.000720  0.990365   0.000727  0.999463   0.000728  1.001119   
17200  0.000720  0.990260   0.000727  0.999458   0.000728  1.001137   
17300  0.000720  0.990154   0.000727  0.999453   0.000728  1.001154   
17400  0.000720  0.990048   0.000727  0.999447   0.000728  1.001171   
17500  0.000720  0.989942   0.000727  0.999442   0.000728  1.001189   
17600  0.000720  0.989835   0.000727  0.999436   0.000728  1.001206   
17700  0.000720  0.989728   0.000727  0.999430   0.000728  1.001223   
17800  0.000720  0.989620   0.000727  0.999424   0.000728  1.001241   
