time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
11100  0.000724  0.994963   0.000727  0.999425   0.000727  1.000162   
11200  0.000724  0.994942   0.000727  0.999413   0.000728  1.000182   
11300  0.000724  0.994920   0.000727  0.999399   0.000728  1.000203   
11400  0.000724  0.994898   0.000727  0.999385   0.000728  1.000224   
11500  0.000724  0.994875   0.000727  0.999371   0.000728  1.000245   
11600  0.000724  0.994852   0.000727  0.999357   0.000728  1.000266   
11700  0.000724  0.994829   0.000727  0.999342   0.000728  1.000288   
11800  0.000724  0.994804   0.000727  0.999327   0.000728  1.000309   
11900  0.000724  0.994778   0.000727  0.999313   0.000728  1.000331   
12000  0.000724  0.994751   0.000727  0.999299   0.000728  1.000352   
12100  0.000724  0.994723   0.000727  0.999285   0.000728  1.000373   
12200  0.000724  0.994694   0.000727  0.999271   0.000728  1.000394   
12300  0.000723  0.994663   0.000727  0.999258   0.000728  1.000415   
12400  0.000723  0.994630   0.000727  0.999246   0.000728  1.000435   
12500  0.000723  0.994596   0.000727  0.999234   0.000728  1.000455   
12600  0.000723  0.994560   0.000727  0.999224   0.000728  1.000475   
12700  0.000723  0.994522   0.000727  0.999214   0.000728  1.000494   
12800  0.000723  0.994482   0.000727  0.999205   0.000728  1.000513   
12900  0.000723  0.994440   0.000727  0.999197   0.000728  1.000531   
13000  0.000723  0.994396   0.000727  0.999190   0.000728  1.000548   
13100  0.000723  0.994350   0.000727  0.999183   0.000728  1.000565   
13200  0.000723  0.994301   0.000727  0.999178   0.000728  1.000582   
13300  0.000723  0.994251   0.000727  0.999174   0.000728  1.000598   
13400  0.000723  0.994198   0.000727  0.999170   0.000728  1.000614   
13500  0.000723  0.994142   0.000727  0.999168   0.000728  1.000629   
13600  0.000723  0.994084   0.000727  0.999166   0.000728  1.000643   
13700  0.000723  0.994024   0.000727  0.999165   0.000728  1.000658   
13800  0.000723  0.993962   0.000727  0.999164   0.000728  1.000671   
13900  0.000723  0.993897   0.000727  0.999164   0.000728  1.000685   
14000  0.000723  0.993830   0.000727  0.999165   0.000728  1.000698   
14100  0.000723  0.993761   0.000727  0.999166   0.000728  1.000711   
14200  0.000723  0.993689   0.000727  0.999167   0.000728  1.000724   
14300  0.000723  0.993615   0.000727  0.999168   0.000728  1.000737   
14400  0.000723  0.993539   0.000727  0.999170   0.000728  1.000750   
14500  0.000723  0.993461   0.000727  0.999172   0.000728  1.000764   
14600  0.000723  0.993382   0.000727  0.999173   0.000728  1.000777   
