time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
7300  -0.000723  -0.994223   -0.000719  -0.988379   0.000703  0.967168   
7400  -0.000723  -0.994206   -0.000719  -0.988443   0.000703  0.967003   
7500  -0.000723  -0.994188   -0.000719  -0.988508   0.000703  0.966835   
7600  -0.000723  -0.994170   -0.000719  -0.988575   0.000703  0.966664   
7700  -0.000723  -0.994150   -0.000719  -0.988642   0.000703  0.966491   
7800  -0.000723  -0.994129   -0.000719  -0.988711   0.000703  0.966316   
7900  -0.000723  -0.994106   -0.000719  -0.988781   0.000703  0.966138   
8000  -0.000723  -0.994083   -0.000719  -0.988853   0.000703  0.965958   
8100  -0.000723  -0.994058   -0.000719  -0.988926   0.000702  0.965776   
8200  -0.000723  -0.994032   -0.000719  -0.989000   0.000702  0.965591   
8300  -0.000723  -0.994005   -0.000719  -0.989076   0.000702  0.965403   
8400  -0.000723  -0.993976   -0.000719  -0.989153   0.000702  0.965214   
8500  -0.000723  -0.993946   -0.000720  -0.989231   0.000702  0.965022   
8600  -0.000723  -0.993915   -0.000720  -0.989311   0.000702  0.964827   
8700  -0.000723  -0.993882   -0.000720  -0.989393   0.000702  0.964631   
8800  -0.000723  -0.993848   -0.000720  -0.989476   0.000701  0.964432   
8900  -0.000723  -0.993813   -0.000720  -0.989560   0.000701  0.964230   
9000  -0.000723  -0.993776   -0.000720  -0.989646   0.000701  0.964027   
9100  -0.000723  -0.993737   -0.000720  -0.989733   0.000701  0.963821   
9200  -0.000723  -0.993698   -0.000720  -0.989822   0.000701  0.963613   
9300  -0.000723  -0.993656   -0.000720  -0.989913   0.000701  0.963403   
9400  -0.000723  -0.993613   -0.000720  -0.990005   0.000701  0.963190   
9500  -0.000723  -0.993569   -0.000720  -0.990098   0.000700  0.962975   
9600  -0.000723  -0.993523   -0.000720  -0.990194   0.000700  0.962759   
9700  -0.000723  -0.993475   -0.000720  -0.990290   0.000700  0.962540   
9800  -0.000723  -0.993426   -0.000720  -0.990389   0.000700  0.962319   
9900  -0.000723  -0.993375   -0.000720  -0.990489   0.000700  0.962095   
10000  -0.000723  -0.993323   -0.000721  -0.990591   0.000700  0.961870   
10100  -0.000722  -0.993269   -0.000721  -0.990694   0.000699  0.961643   
10200  -0.000722  -0.993213   -0.000721  -0.990799   0.000699  0.961414   
10300  -0.000722  -0.993156   -0.000721  -0.990906   0.000699  0.961183   
10400  -0.000722  -0.993097   -0.000721  -0.991014   0.000699  0.960950   
10500  -0.000722  -0.993036   -0.000721  -0.991124   0.000699  0.960715   
10600  -0.000722  -0.992974   -0.000721  -0.991236   0.000699  0.960478   
10700  -0.000722  -0.992909   -0.000721  -0.991349   0.000698  0.960240   
10800  -0.000722  -0.992844   -0.000721  -0.991464   0.000698  0.959999   
10900  -0.000722  -0.992776   -0.000721  -0.991580   0.000698  0.959757   
11000  -0.000722  -0.992707   -0.000721  -0.991699   0.000698  0.959513   
11100  -0.000722  -0.992636   -0.000721  -0.991819   0.000698  0.959268   
11200  -0.000722  -0.992563   -0.000722  -0.991940   0.000698  0.959021   
11300  -0.000722  -0.992488   -0.000722  -0.992063   0.000697  0.958772   
11400  -0.000722  -0.992412   -0.000722  -0.992188   0.000697  0.958521   
11500  -0.000722  -0.992334   -0.000722  -0.992315   0.000697  0.958270   
11600  -0.000722  -0.992254   -0.000722  -0.992443   0.000697  0.958016   
11700  -0.000722  -0.992172   -0.000722  -0.992573   0.000697  0.957761   
11800  -0.000722  -0.992088   -0.000722  -0.992704   0.000696  0.957505   
11900  -0.000722  -0.992003   -0.000722  -0.992837   0.000696  0.957248   
12000  -0.000721  -0.991916   -0.000722  -0.992972   0.000696  0.956989   
12100  -0.000721  -0.991827   -0.000722  -0.993108   0.000696  0.956729   
12200  -0.000721  -0.991737   -0.000722  -0.993245   0.000696  0.956467   
