time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
8300  -0.000716  -0.984781   -0.000712  -0.978772   0.000710  0.976620   
8400  -0.000716  -0.984759   -0.000712  -0.978842   0.000710  0.976460   
8500  -0.000716  -0.984736   -0.000712  -0.978914   0.000710  0.976297   
8600  -0.000716  -0.984711   -0.000712  -0.978987   0.000710  0.976133   
8700  -0.000716  -0.984685   -0.000712  -0.979062   0.000710  0.975966   
8800  -0.000716  -0.984656   -0.000712  -0.979138   0.000710  0.975797   
8900  -0.000716  -0.984626   -0.000712  -0.979216   0.000710  0.975627   
9000  -0.000716  -0.984594   -0.000712  -0.979295   0.000710  0.975454   
9100  -0.000716  -0.984560   -0.000712  -0.979376   0.000709  0.975279   
9200  -0.000716  -0.984525   -0.000712  -0.979459   0.000709  0.975102   
9300  -0.000716  -0.984487   -0.000712  -0.979543   0.000709  0.974923   
9400  -0.000716  -0.984447   -0.000713  -0.979629   0.000709  0.974742   
9500  -0.000716  -0.984405   -0.000713  -0.979717   0.000709  0.974559   
9600  -0.000716  -0.984362   -0.000713  -0.979806   0.000709  0.974375   
9700  -0.000716  -0.984316   -0.000713  -0.979898   0.000709  0.974188   
9800  -0.000716  -0.984268   -0.000713  -0.979990   0.000708  0.973999   
9900  -0.000716  -0.984218   -0.000713  -0.980085   0.000708  0.973808   
10000  -0.000716  -0.984166   -0.000713  -0.980181   0.000708  0.973616   
10100  -0.000716  -0.984112   -0.000713  -0.980279   0.000708  0.973421   
10200  -0.000716  -0.984055   -0.000713  -0.980379   0.000708  0.973224   
10300  -0.000716  -0.983997   -0.000713  -0.980481   0.000708  0.973026   
10400  -0.000716  -0.983936   -0.000713  -0.980584   0.000708  0.972826   
10500  -0.000716  -0.983873   -0.000713  -0.980690   0.000707  0.972624   
10600  -0.000716  -0.983808   -0.000713  -0.980797   0.000707  0.972420   
10700  -0.000716  -0.983740   -0.000713  -0.980906   0.000707  0.972214   
10800  -0.000715  -0.983671   -0.000714  -0.981016   0.000707  0.972006   
10900  -0.000715  -0.983599   -0.000714  -0.981129   0.000707  0.971797   
11000  -0.000715  -0.983524   -0.000714  -0.981243   0.000707  0.971585   
11100  -0.000715  -0.983448   -0.000714  -0.981359   0.000707  0.971372   
11200  -0.000715  -0.983369   -0.000714  -0.981477   0.000706  0.971158   
11300  -0.000715  -0.983287   -0.000714  -0.981597   0.000706  0.970941   
11400  -0.000715  -0.983204   -0.000714  -0.981718   0.000706  0.970723   
11500  -0.000715  -0.983118   -0.000714  -0.981841   0.000706  0.970503   
11600  -0.000715  -0.983029   -0.000714  -0.981966   0.000706  0.970281   
11700  -0.000715  -0.982939   -0.000714  -0.982093   0.000706  0.970058   
11800  -0.000715  -0.982845   -0.000714  -0.982221   0.000705  0.969833   
11900  -0.000715  -0.982750   -0.000715  -0.982352   0.000705  0.969606   
12000  -0.000715  -0.982652   -0.000715  -0.982483   0.000705  0.969378   
12100  -0.000715  -0.982552   -0.000715  -0.982617   0.000705  0.969148   
12200  -0.000715  -0.982449   -0.000715  -0.982752   0.000705  0.968917   
12300  -0.000715  -0.982344   -0.000715  -0.982889   0.000705  0.968684   
12400  -0.000714  -0.982237   -0.000715  -0.983028   0.000704  0.968450   
12500  -0.000714  -0.982127   -0.000715  -0.983168   0.000704  0.968214   
12600  -0.000714  -0.982015   -0.000715  -0.983310   0.000704  0.967976   
12700  -0.000714  -0.981901   -0.000715  -0.983453   0.000704  0.967737   
12800  -0.000714  -0.981784   -0.000715  -0.983598   0.000704  0.967497   
12900  -0.000714  -0.981665   -0.000716  -0.983744   0.000704  0.967255   
13000  -0.000714  -0.981544   -0.000716  -0.983892   0.000703  0.967012   
13100  -0.000714  -0.981420   -0.000716  -0.984042   0.000703  0.966767   
13200  -0.000714  -0.981294   -0.000716  -0.984192   0.000703  0.966521   
13300  -0.000714  -0.981166   -0.000716  -0.984345   0.000703  0.966274   
13400  -0.000714  -0.981035   -0.000716  -0.984498   0.000703  0.966025   
13500  -0.000713  -0.980902   -0.000716  -0.984653   0.000702  0.965775   
13600  -0.000713  -0.980767   -0.000716  -0.984809   0.000702  0.965523   
13700  -0.000713  -0.980630   -0.000716  -0.984966   0.000702  0.965270   
13800  -0.000713  -0.980490   -0.000717  -0.985125   0.000702  0.965016   
13900  -0.000713  -0.980349   -0.000717  -0.985284   0.000702  0.964761   
14000  -0.000713  -0.980205   -0.000717  -0.985445   0.000702  0.964504   
14100  -0.000713  -0.980059   -0.000717  -0.985607   0.000701  0.964246   
14200  -0.000713  -0.979911   -0.000717  -0.985770   0.000701  0.963987   
14300  -0.000713  -0.979761   -0.000717  -0.985933   0.000701  0.963727   
14400  -0.000713  -0.979608   -0.000717  -0.986098   0.000701  0.963465   
14500  -0.000712  -0.979454   -0.000717  -0.986264   0.000701  0.963203   
14600  -0.000712  -0.979298   -0.000718  -0.986430   0.000700  0.962939   
14700  -0.000712  -0.979140   -0.000718  -0.986597   0.000700  0.962674   
14800  -0.000712  -0.978979   -0.000718  -0.986765   0.000700  0.962408   
14900  -0.000712  -0.978817   -0.000718  -0.986934   0.000700  0.962140   
15000  -0.000712  -0.978653   -0.000718  -0.987103   0.000700  0.961872   
15100  -0.000712  -0.978487   -0.000718  -0.987273   0.000699  0.961602   
15200  -0.000712  -0.978320   -0.000718  -0.987444   0.000699  0.961331   
15300  -0.000711  -0.978150   -0.000718  -0.987614   0.000699  0.961059   
15400  -0.000711  -0.977979   -0.000718  -0.987786   0.000699  0.960786   
15500  -0.000711  -0.977806   -0.000719  -0.987957   0.000699  0.960512   
15600  -0.000711  -0.977632   -0.000719  -0.988129   0.000698  0.960237   
15700  -0.000711  -0.977456   -0.000719  -0.988302   0.000698  0.959961   
15800  -0.000711  -0.977278   -0.000719  -0.988474   0.000698  0.959683   
15900  -0.000711  -0.977099   -0.000719  -0.988647   0.000698  0.959405   
16000  -0.000711  -0.976918   -0.000719  -0.988819   0.000698  0.959125   
16100  -0.000710  -0.976736   -0.000719  -0.988992   0.000697  0.958845   
16200  -0.000710  -0.976553   -0.000719  -0.989164   0.000697  0.958563   
16300  -0.000710  -0.976368   -0.000720  -0.989337   0.000697  0.958280   
16400  -0.000710  -0.976181   -0.000720  -0.989509   0.000697  0.957996   
16500  -0.000710  -0.975994   -0.000720  -0.989681   0.000697  0.957711   
16600  -0.000710  -0.975805   -0.000720  -0.989853   0.000696  0.957425   
