time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
9300  0.000731  1.005346   0.000734  1.009433   0.000735  1.009904   
9400  0.000731  1.005319   0.000734  1.009443   0.000735  1.009912   
9500  0.000731  1.005292   0.000734  1.009453   0.000735  1.009922   
9600  0.000731  1.005265   0.000734  1.009460   0.000735  1.009931   
9700  0.000731  1.005240   0.000734  1.009467   0.000735  1.009942   
9800  0.000731  1.005215   0.000734  1.009472   0.000735  1.009953   
9900  0.000731  1.005190   0.000734  1.009475   0.000735  1.009965   
10000  0.000731  1.005167   0.000734  1.009477   0.000735  1.009978   
10100  0.000731  1.005143   0.000734  1.009479   0.000735  1.009992   
10200  0.000731  1.005118   0.000734  1.009480   0.000735  1.010005   
10300  0.000731  1.005092   0.000734  1.009481   0.000735  1.010018   
10400  0.000731  1.005065   0.000734  1.009482   0.000735  1.010032   
10500  0.000731  1.005036   0.000734  1.009484   0.000735  1.010046   
10600  0.000731  1.005007   0.000734  1.009485   0.000735  1.010060   
10700  0.000731  1.004976   0.000734  1.009486   0.000735  1.010074   
10800  0.000731  1.004944   0.000734  1.009487   0.000735  1.010088   
10900  0.000731  1.004911   0.000734  1.009489   0.000735  1.010102   
11000  0.000731  1.004877   0.000734  1.009490   0.000735  1.010117   
11100  0.000731  1.004842   0.000734  1.009491   0.000735  1.010131   
11200  0.000731  1.004805   0.000734  1.009492   0.000735  1.010146   
11300  0.000731  1.004767   0.000734  1.009493   0.000735  1.010160   
11400  0.000731  1.004728   0.000734  1.009494   0.000735  1.010175   
11500  0.000731  1.004688   0.000734  1.009495   0.000735  1.010190   
11600  0.000731  1.004647   0.000734  1.009497   0.000735  1.010205   
11700  0.000731  1.004604   0.000734  1.009498   0.000735  1.010220   
11800  0.000731  1.004560   0.000734  1.009499   0.000735  1.010235   
11900  0.000731  1.004515   0.000734  1.009500   0.000735  1.010251   
12000  0.000731  1.004469   0.000734  1.009501   0.000735  1.010266   
12100  0.000731  1.004421   0.000734  1.009502   0.000735  1.010282   
12200  0.000731  1.004373   0.000734  1.009502   0.000735  1.010297   
12300  0.000731  1.004323   0.000734  1.009503   0.000735  1.010313   
12400  0.000730  1.004271   0.000734  1.009504   0.000735  1.010329   
12500  0.000730  1.004219   0.000734  1.009505   0.000735  1.010344   
12600  0.000730  1.004165   0.000734  1.009506   0.000735  1.010360   
12700  0.000730  1.004110   0.000734  1.009506   0.000735  1.010376   
12800  0.000730  1.004054   0.000734  1.009507   0.000735  1.010393   
12900  0.000730  1.003997   0.000734  1.009508   0.000735  1.010409   
13000  0.000730  1.003938   0.000734  1.009508   0.000735  1.010425   
13100  0.000730  1.003878   0.000734  1.009509   0.000735  1.010441   
13200  0.000730  1.003817   0.000734  1.009509   0.000735  1.010458   
13300  0.000730  1.003755   0.000734  1.009509   0.000735  1.010474   
13400  0.000730  1.003692   0.000734  1.009510   0.000735  1.010491   
13500  0.000730  1.003627   0.000734  1.009510   0.000735  1.010507   
13600  0.000730  1.003562   0.000734  1.009510   0.000735  1.010524   
13700  0.000730  1.003495   0.000734  1.009510   0.000735  1.010541   
13800  0.000730  1.003427   0.000734  1.009510   0.000735  1.010557   
13900  0.000730  1.003357   0.000734  1.009510   0.000735  1.010574   
14000  0.000730  1.003287   0.000734  1.009510   0.000735  1.010591   
14100  0.000730  1.003216   0.000734  1.009509   0.000735  1.010608   
14200  0.000730  1.003143   0.000734  1.009509   0.000735  1.010625   
14300  0.000730  1.003069   0.000734  1.009509   0.000735  1.010642   
14400  0.000730  1.002995   0.000734  1.009508   0.000735  1.010659   
14500  0.000729  1.002919   0.000734  1.009507   0.000735  1.010676   
14600  0.000729  1.002842   0.000734  1.009507   0.000735  1.010693   
14700  0.000729  1.002764   0.000734  1.009506   0.000735  1.010710   
14800  0.000729  1.002685   0.000734  1.009505   0.000735  1.010728   
14900  0.000729  1.002605   0.000734  1.009504   0.000735  1.010745   
15000  0.000729  1.002524   0.000734  1.009503   0.000735  1.010762   
15100  0.000729  1.002442   0.000734  1.009501   0.000735  1.010780   
15200  0.000729  1.002359   0.000734  1.009500   0.000735  1.010797   
15300  0.000729  1.002275   0.000734  1.009498   0.000735  1.010814   
15400  0.000729  1.002190   0.000734  1.009497   0.000735  1.010832   
15500  0.000729  1.002104   0.000734  1.009495   0.000735  1.010849   
15600  0.000729  1.002017   0.000734  1.009493   0.000735  1.010867   
15700  0.000729  1.001930   0.000734  1.009491   0.000735  1.010884   
15800  0.000729  1.001841   0.000734  1.009488   0.000735  1.010902   
15900  0.000729  1.001752   0.000734  1.009486   0.000735  1.010919   
16000  0.000729  1.001662   0.000734  1.009483   0.000735  1.010937   
16100  0.000729  1.001571   0.000734  1.009481   0.000735  1.010954   
16200  0.000728  1.001479   0.000734  1.009478   0.000735  1.010972   
16300  0.000728  1.001387   0.000734  1.009475   0.000735  1.010989   
16400  0.000728  1.001294   0.000734  1.009471   0.000735  1.011007   
16500  0.000728  1.001200   0.000734  1.009468   0.000735  1.011024   
16600  0.000728  1.001105   0.000734  1.009464   0.000735  1.011042   
16700  0.000728  1.001010   0.000734  1.009461   0.000735  1.011059   
16800  0.000728  1.000914   0.000734  1.009457   0.000735  1.011077   
16900  0.000728  1.000818   0.000734  1.009452   0.000735  1.011094   
17000  0.000728  1.000721   0.000734  1.009448   0.000735  1.011112   
17100  0.000728  1.000623   0.000734  1.009444   0.000735  1.011129   
17200  0.000728  1.000525   0.000734  1.009439   0.000735  1.011147   
17300  0.000728  1.000426   0.000734  1.009434   0.000735  1.011164   
17400  0.000728  1.000327   0.000734  1.009429   0.000736  1.011182   
17500  0.000728  1.000227   0.000734  1.009423   0.000736  1.011199   
17600  0.000727  1.000127   0.000734  1.009418   0.000736  1.011217   
17700  0.000727  1.000027   0.000734  1.009412   0.000736  1.011234   
17800  0.000727  0.999926   0.000734  1.009406   0.000736  1.011251   
17900  0.000727  0.999825   0.000734  1.009400   0.000736  1.011269   
18000  0.000727  0.999723   0.000734  1.009393   0.000736  1.011286   
18100  0.000727  0.999621   0.000734  1.009386   0.000736  1.011303   
18200  0.000727  0.999519   0.000734  1.009379   0.000736  1.011320   
18300  0.000727  0.999417   0.000734  1.009372   0.000736  1.011338   
18400  0.000727  0.999314   0.000734  1.009365   0.000736  1.011355   
18500  0.000727  0.999211   0.000734  1.009357   0.000736  1.011372   
18600  0.000727  0.999108   0.000734  1.009349   0.000736  1.011389   
18700  0.000727  0.999005   0.000734  1.009341   0.000736  1.011406   
18800  0.000727  0.998902   0.000734  1.009332   0.000736  1.011423   
18900  0.000726  0.998799   0.000734  1.009324   0.000736  1.011440   
19000  0.000726  0.998695   0.000734  1.009315   0.000736  1.011457   
19100  0.000726  0.998592   0.000734  1.009305   0.000736  1.011474   
19200  0.000726  0.998488   0.000734  1.009296   0.000736  1.011490   
19300  0.000726  0.998385   0.000734  1.009286   0.000736  1.011507   
19400  0.000726  0.998282   0.000734  1.009276   0.000736  1.011524   
19500  0.000726  0.998179   0.000734  1.009266   0.000736  1.011540   
19600  0.000726  0.998075   0.000734  1.009255   0.000736  1.011557   
19700  0.000726  0.997972   0.000734  1.009244   0.000736  1.011573   
19800  0.000726  0.997870   0.000734  1.009233   0.000736  1.011590   
19900  0.000726  0.997767   0.000734  1.009221   0.000736  1.011606   
20000  0.000726  0.997666   0.000734  1.009209   0.000736  1.011622   
